id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the farm land until it was open and accesible?,What is the type of the road available to the farm land?,How much distance should one travel from the farm land to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What is the type of structure of the farm land?,What is the type of security available for the farm land?,How many are employed in the farm land?,Where do you get water for operational purposes for the farm land?,What are the other source of water you depend upon?,How do you deal with the agricultural waste generated from the farm land?,What are the other mechanism used to discard the waste from the farm land?,Are the premises of farm land cleaned with disinfectant regularly?,How frequently are the premises at the farm land cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the farm land?,How many hours per day are you facing power cuts in the farm land?,What is the alternative energy source available for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How do you maintain records for operations of the farm land?,What are the other record mechanisms?,What are the areas the farm land gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the farm land?,What is the name of the organization?,Are you using digital technologies that can be used in the farm land?,For what purpose are you using digital tools here at the farm land?,Where do you procure inputs required for the farm land?,What other sources are used to get needed inputs?,What are different chemical inputs used in the farm land?,What other chemical inputs are used in the farm land?,What is the type of covering material used in the farm land?,What other type of covering material are used in the farm land?,What is the water source used for irrigation mechanism?,What other source of water do you depend upon for irrigation?,What is the type of irrigation mechanism used in the farm land?,What are other mechanism used for irrigation?,How does the farm land advertise about the services available?,What is the average operational cost per month to run the farm land?(Excluding Salary of the Employees),How much amount of products are produced in the farm land in a year?(In K.G),What is the type of agriculture products produced in the farm land?,What is the average cost per K.G of the products produced from the farm land?(In Rupees),What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,Which type of customers purchase the products produced in the farm land?,How does the customers transport the goods produced from the farm land?
6629,2019-05-28 06:59:51,Agriculture,Farm land,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.58934,93.85018,Approved,https://smartvillage.imagetrekk.com/storage/images/Bi72jbq3xsIpGT3YfyIKv4G1fRpuT8N2CpbtRvvN.jpeg?asset_id=6629,farm land,1,Kacha Road,2,2G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Others""]",15,Ground Water,,Discarded in Open Field,,No,,No,,None,,,,,,,Others,no record maintain,"[""None""]",No,,No,,Local Supplier,,Pesticide,,Lath/Bamboo,,Ground Water,,Others,no mechanism used,"[""Others""]",5000,500,crop,201-300,None,None,None,None,"[""Others""]","[""Head Load""]"
6683,2019-05-28 09:14:01,Agriculture,Farm land,mr yomrak kato,Private,In Use,West Siang,Kamba,Kambu,28.26717,94.6834,Approved,https://smartvillage.imagetrekk.com/storage/images/xzB2swFemjopYP51352JSeormLDzecSpztSEznIz.jpeg?asset_id=6683,good condition,2,Kacha Road,5,3G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",2,Ground Water,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,Lath/Bamboo,,River/Stream,,Canal Irrigation,,"[""Posters\/ Display Boards""]",200,30000,"rice,mize",101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others""]","[""Head Load""]"
6862,2019-05-31 05:40:45,Agriculture,Farm land,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.60868,93.86768,Pending,https://smartvillage.imagetrekk.com/storage/images/lhz6p8guyeWZPTooMwFDCmLr77dUA43RqJW98Ooq.jpeg?asset_id=6862,farm land 1,2,Kacha Road,4,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",2,Ground Water,,Burnt within the premises,,Yes,3,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,Fertilizer,,Polysheet,,Ground Water,,Drip Irrigation,,"[""Village Meeting ""]",25000,5000,"tamato, green keaf, lady finger, chilli, etcs",1-100,None,None,None,None,"[""Farmers"",""Others""]","[""Tempo\/Auto""]"
6865,2019-05-31 06:18:42,Agriculture,Farm land,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.57703,93.86219,Pending,https://smartvillage.imagetrekk.com/storage/images/0cY38ppGTkSRCiu2DQ8oIg1BUR9bA4wasEGA3aiQ.jpeg?asset_id=6865,farm land 2,2,Kacha Road,4,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,Ground Water,,Burnt within the premises,,Yes,3,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Fertilizer,,Lath/Bamboo,,Ground Water,,Drip Irrigation,,"[""Village Meeting ""]",20000,3000,kiwi,201-300,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others""]","[""2 Wheeler""]"
6872,2019-05-31 12:28:11,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.97072,93.29914,Pending,https://smartvillage.imagetrekk.com/storage/images/tp5X4qq0Wyx8ZxAlnUAocVQZbKsPu0czUHAnkg7w.jpeg?asset_id=6872,maize field,1,Footway,0.2,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,Fertilizer,,None,,Rainfed,,Drip Irrigation,,"[""Others""]",500,50,maize and wheat,1-100,None,None,None,None,"[""None""]","[""Head Load""]"
6875,2019-05-31 12:28:15,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,26.94046,93.47436,Pending,https://smartvillage.imagetrekk.com/storage/images/ydZRqJPsGZzAJOpyNwLHd3mPcyirxCyR7Mt8yyk8.jpeg?asset_id=6875,maize field,1,Footway,0.2,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",2,Spring Water,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,Fertilizer,,None,,Rainfed,,Others,rained,"[""Others""]",600,50,maize and wheat,1-100,None,None,None,None,"[""None""]","[""Head Load""]"
6876,2019-05-31 12:28:15,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,29.0063,94.32636,Pending,https://smartvillage.imagetrekk.com/storage/images/hzpvC0KgrbA7nGb0XKyYnpA5HSkxrAHzpu456Ik9.jpeg?asset_id=6876,maize field,1,Kacha Road,0.2,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",3,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,Fertilizer,,None,,Rainfed,,Others,rained water,"[""Others""]",1000,50,maize and wheat,1-100,None,None,None,None,"[""None""]","[""Head Load""]"
6878,2019-05-31 12:28:36,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,28.13312,93.58753,Approved,https://smartvillage.imagetrekk.com/storage/images/Ea8Bmkl6FgTw6tDkzdbKfc3YeLp7KUb8vri5QEK5.jpeg?asset_id=6878,maize field,1,Footway,0.2,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",2,Spring Water,raine,None,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,Fertilizer,,None,,Rainfed,,Others,rained water,"[""Others""]",800,50,Maize and wheat,1-100,None,None,None,None,"[""None""]","[""Head Load""]"
6879,2019-05-31 12:28:47,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.33756,92.27288,Approved,https://smartvillage.imagetrekk.com/storage/images/V5fXPSGrom7GtRyQciYofUKsRMOlK2BfCLJaPpsR.jpeg?asset_id=6879,maize field,1,Footway,0.2,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",2,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,Fertilizer,,None,,Rainfed,,Drip Irrigation,,"[""Others""]",500,50,maize and wheat,1-100,None,None,None,None,"[""None""]","[""Head Load""]"
6880,2019-05-31 12:29:01,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.34115,92.96549,Approved,https://smartvillage.imagetrekk.com/storage/images/Mws9C5EbDsizdYbRgvNyoyw7VAE7ZWcgKxHpPvve.jpeg?asset_id=6880,maize field,1,Footway,0.3,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",2,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,Fertilizer,,None,,Rainfed,,Drip Irrigation,,"[""Others""]",500,50,maize and wheat,1-100,None,None,None,None,"[""None""]","[""Head Load""]"
6960,2019-06-04 11:49:55,Agriculture,Farm land,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.58655,93.85525,Approved,https://smartvillage.imagetrekk.com/storage/images/yPxqJDPJeSz3UHx3qG6aiov6Kp5la2zGZWfRkqUO.jpeg?asset_id=6960,paddy field,1,Kacha Road,4,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",2,River or Canal,,Discarded in Open Field,,No,,No,,None,,,,,,,Others,no records,"[""None""]",No,,No,,Others,from own nursery,None,,None,,River/Stream,,Canal Irrigation,,"[""Others""]",10000,5000,rice,201-300,None,None,None,None,"[""Farmers"",""Others""]","[""Head Load""]"
7041,2019-06-06 01:28:13,Agriculture,Farm land,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.62328,93.86494,Approved,https://smartvillage.imagetrekk.com/storage/images/JBKLSXsU6DZrayPws45otIzMcRLwBIwutgDtmG9g.jpeg?asset_id=7041,farm land owned by smt. millo jarjo yabii at lemia akang east,8,Pakka Road with Block Point,2,2G Reliable,"[""Vodafone"",""Idea"",""Airtel""]","[""Vodafone"",""Idea"",""Airtel""]","[""Vodafone"",""Idea"",""Airtel""]","[""Vodafone"",""Idea"",""Airtel""]","[""Vodafone"",""Idea"",""Airtel""]","[""Vodafone"",""Idea"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,Water from Government,,Burnt within the premises,,Yes,>7,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,None,,None,,Rainfed,,Canal Irrigation,,"[""Village Meeting "",""Others""]",1000,1500,"beans, cauliflower, ginger, cucumber, cabbage, corn, green vegitables, tomato, etc.",101-200,None,None,None,None,"[""Farmers"",""NGO"",""Others""]","[""Sumo\/Tracker""]"
7043,2019-06-06 01:28:15,Agriculture,Farm land,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.59894,93.84846,Approved,https://smartvillage.imagetrekk.com/storage/images/6icGT8gN7h6hoZjoYWeO8u6yyXMHCxLg1Wy5GbnP.jpeg?asset_id=7043,"farmland owned by smt. tage yapa at pariya, lempia",2,Kacha Road,2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,Ground Water,,Burnt within the premises,,Yes,3,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Fertilizer,,None,,Ground Water,,Others,ground water,"[""Village Meeting ""]",700,1500,"cabbage, califlower, beans, etc",>300,None,None,None,None,"[""None""]","[""Head Load""]"
7065,2019-06-06 05:59:21,Agriculture,Farm land,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.55999,93.83747,Approved,https://smartvillage.imagetrekk.com/storage/images/IQLwqXw2o1JaEpfR5Qkfm8LuUpONSPNakWLcjOGj.jpeg?asset_id=7065,private farm land owned by smt. ngilyang tamang nyime at lempia akang west,6,Pakka Road with Block Point,2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,Water from Government,,Burnt within the premises,,Yes,7,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Fertilizer,,None,,Rainfed,,Canal Irrigation,,"[""Others""]",800,1500,"kiwi, green vegetable, cabbage, cauliflower, beans, corn, chilli, pears, etc.",1-100,None,None,None,None,"[""Farmers"",""Others""]","[""Tempo\/Auto""]"
7066,2019-06-06 05:59:23,Agriculture,Farm land,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.56973,93.81825,Approved,https://smartvillage.imagetrekk.com/storage/images/pKZS2UCmrfUSQrHAYIod1CGSWVlQe6GVrI1oy398.jpeg?asset_id=7066,mini kiei fsrm owned by ngilyang tubin @ lempia akang west. need financial support,1,Footway,54,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,Others,rainfed,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Rainfed,,Others,rained,"[""Others""]",1000,2500,kiwi anfcorn,>300,None,None,None,None,"[""None""]","[""Head Load"",""2 Wheeler""]"
7067,2019-06-06 05:59:23,Agriculture,Farm land,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.5746,93.8155,Approved,https://smartvillage.imagetrekk.com/storage/images/vTnfwMW5ye4kbm1TMKIZeYLpHwkHJHsHeIUZ83uR.jpeg?asset_id=7067,agriculture farm land owned by rubu yaka,1,Footway,3,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,Water from Government,,Burnt within the premises,,Yes,4,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,Fertilizer,,None,,Rainfed,,Others,rainfed,"[""Village Meeting ""]",800,2000,"cabbage, cauliflower, corn, bean, green vegetables, tomatos, chilli,etc.",1-100,None,None,None,None,"[""NGO"",""Others""]","[""2 Wheeler""]"
7124,2019-06-07 04:19:38,Agriculture,Farm land,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.65734,93.80451,Approved,https://smartvillage.imagetrekk.com/storage/images/w6Xh9LpRsdCKpRFcjxmPMZvjt2lRmvNMu3ge6qOU.jpeg?asset_id=7124,kiwi garden owned by Er. Tage Taki,1,Kacha Road,9,Nil,[],[],[],[],[],[],"Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing"",""Watchman""]",5,Others,raifed,Burnt within the premises,,Yes,1,No,,None,,,,,,,Traditional Book Keeping,,"[""None"",""Financial Support""]",No,,No,,None,,None,,None,,Rainfed,,Others,rainfed,"[""Posters\/ Display Boards""]",20000,100000,kiwi,>300,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers"",""Research Organizations"",""Govt. Agencies"",""NGO"",""Others""]","[""Tempo\/Auto""]"
7126,2019-06-07 04:20:14,Agriculture,Farm land,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.62085,93.79078,Approved,https://smartvillage.imagetrekk.com/storage/images/oUp4wBvym23ly2SB0mQADBpuZDy6Bpbu2jEc4IYU.jpeg?asset_id=7126,farm land owned by Tage Tabyo,2,Footway,7,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing"",""Watchman""]",3,Water from Government,,Burnt within the premises,,Yes,1,No,,None,,,,,,,Traditional Book Keeping,,"[""None"",""Financial Support""]",No,,No,,None,,None,,None,,Rainfed,,Others,rainfed,"[""Posters\/ Display Boards""]",5000,100000,"tamato, chilli, cabbage, cauliflower, vegetables, etc.",1-100,None,None,None,None,"[""Farmers"",""Others""]","[""Head Load""]"
7127,2019-06-07 04:20:37,Agriculture,Farm land,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.55755,93.82374,Pending,https://smartvillage.imagetrekk.com/storage/images/prIdiHCdelFRgAasGiULJ4sYppBxP5z6vngLH6ja.jpeg?asset_id=7127,integrated farming system,1,Pakka Road with Block Point,3,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",3,Ground Water,,Burnt within the premises,,Yes,1,No,,None,,,,,,,Traditional Book Keeping,,"[""Financial Support""]",No,,No,,Local Supplier,,None,,None,,Rainfed,,Others,rainfed,"[""Posters\/ Display Boards""]",2000,1200,"kiwi, cabbage, potatoes, etc.",1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers"",""Others""]","[""Tempo\/Auto""]"
7165,2019-06-07 09:09:09,Agriculture,Farm land,tilling saha,Private,In Use,Lower Subansiri,Ziro,Taring,27.52627,93.83129,Approved,https://smartvillage.imagetrekk.com/storage/images/AtCJQpohc51dTc2NSRwXHbw3hGz4Eee8Th0zlr6q.jpeg?asset_id=7165,taring farm land 2,1,Pakka Road with Block Point,2.5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",5,Spring Water,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,None,,None,,Rainfed,,Sprinklers,,"[""Others""]",2000,5000,vegetables,1-100,None,None,None,None,"[""Farmers"",""Research Organizations"",""Govt. Agencies"",""NGO""]","[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker""]"
7166,2019-06-07 09:09:23,Agriculture,Farm land,tilling saha,Private,In Use,Lower Subansiri,Ziro,Taring,27.5262,93.8312,Approved,https://smartvillage.imagetrekk.com/storage/images/QmsyrxzWVsZChoQSIE2gtkF4FBSnEDPkT5WnVuVg.jpeg?asset_id=7166,taring farm land 1,1,Pakka Road,3.5,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Watchman""]",2,River or Canal,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Ground Water,,Sprinklers,,"[""Others""]",2000,50000,vegetarian n maize,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others"",""Farmers""]","[""Head Load"",""2 Wheeler"",""Tempo\/Auto""]"
7211,2019-06-08 08:41:22,Agriculture,Farm land,taakhe rakesh,Private,In Use,Lower Subansiri,Ziro,Hong,27.52342,93.83571,Approved,https://smartvillage.imagetrekk.com/storage/images/4jkkS12wKRA0z2lGoQgTu5dYnlpjVUUWll9Ty9lo.jpeg?asset_id=7211,takhe hano kiwi farmland,1,Kacha Road,3.5,3G Unreliable,"[""Vodafone"",""Idea"",""BSNL"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Watchman""]",2,Water from Government,,Burnt within the premises,,Yes,5,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Fertilizer,,None,,Rainfed,,Sprinklers,,"[""Others""]",2000,1000,kiwi,101-200,None,None,None,None,"[""Farmers"",""Research Organizations"",""Govt. Agencies"",""NGO""]","[""Head Load"",""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker""]"
7212,2019-06-08 08:42:28,Agriculture,Farm land,taakhe rakesh,Private,In Use,Lower Subansiri,Ziro,Hong,27.52353,93.83565,Approved,https://smartvillage.imagetrekk.com/storage/images/homLsgqWNz3IPu9IATdMZH1Aim2L5a3BGSculIcJ.jpeg?asset_id=7212,garden,1,Kacha Road,3.5,3G Unreliable,"[""Vodafone"",""BSNL"",""Idea"",""Airtel""]","[""Vodafone"",""BSNL"",""Idea"",""Airtel""]","[""Vodafone"",""BSNL"",""Idea"",""Airtel""]","[""Vodafone"",""BSNL"",""Idea"",""Airtel""]","[""Vodafone"",""BSNL"",""Idea"",""Airtel""]","[""Vodafone"",""BSNL"",""Idea"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Watchman""]",1,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Fertilizer,,None,,Rainfed,,Sprinklers,,"[""Others""]",1000,2000,maize,1-100,None,None,None,None,"[""Farmers"",""NGO"",""Govt. Agencies"",""Research Organizations""]","[""Head Load"",""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker""]"
7216,2019-06-08 08:46:28,Agriculture,Farm land,taakhe rakesh,Private,In Use,Lower Subansiri,Ziro,Hong,27.5202,93.8393,Approved,https://smartvillage.imagetrekk.com/storage/images/hPx0GwmZBeqJWGsz6FsltjCSEmNekQYuTmQAN8lN.jpeg?asset_id=7216,garden,1,Pakka Road with Block Point,3.5,3G Unreliable,"[""Idea"",""Vodafone"",""BSNL"",""Airtel""]","[""Idea"",""Vodafone"",""BSNL"",""Airtel""]","[""Idea"",""Vodafone"",""BSNL"",""Airtel""]","[""Idea"",""Vodafone"",""BSNL"",""Airtel""]","[""Idea"",""Vodafone"",""BSNL"",""Airtel""]","[""Idea"",""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,River or Canal,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Fertilizer,,None,,Rainfed,,Sprinklers,,"[""Others""]",1000,5000,vegetable,1-100,None,None,None,None,"[""Farmers"",""Research Organizations"",""Govt. Agencies"",""NGO""]","[""Head Load"",""2 Wheeler"",""Tempo\/Auto""]"
