id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the fish pond until it was open?,What is the type of the road available to the fish pond?,How much distance should one travel from the fish pond to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What is the type of security available for the fish pond?,How many are employed in the fish pond?,Where do you get water for operational purposes for the fish pond?,What are the other source of water you depend upon?,How do you deal with the waste generated from the fish pond?,What are the other mechanism used to discard the waste from the fish pond?,Do you have grid connection for energy supply for the fish pond?,How many hours per day are you facing power cuts in the fish pond?,What is the alternative energy source available for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How do you maintain records for operations of the fish pond?,What other recording mechanisms are used in the asset?,What are the areas the fish pond gets support from government agencies?,Do you get any support from NGO(s) for the fish pond?,What is the name of the organization?,Are you using digital technologies that can be used in the fish pond?,For what purpose are you using digital tools here at the fish pond?,Where do you primarily procure inputs required for the Fish Pond?,What are other sources are used to get needed inputs?,What are different chemical inputs used in the fish pond?,What are different organic inputs used in the fish pond?,How does this Asset advertise about the products produced in the fish pond?,How many KGs of fish are procured from fish pond per year?,What types of fish are produced in the fish pond?,What is the average cost per unit of the products produced from the fish pond?,Which type of customers purchase the products produced in the fish pond?,How does the customers transport the goods produced from the fish pond?,How do you determine the selling price of the products?
1124,2019-02-15 14:04:16,Fisheries,Fish Pond,nabam dimin,Private,In Use,Lower Subansiri,Yachuli,Yoglo,27.52173,93.70632,Approved,https://smartvillage.imagetrekk.com/storage/images/tAu3PLZ00KRYJ42L2kmGRsCdvMziBg3JSsNUfNSu.jpeg?asset_id=1124,lack of scientific management,1,Kacha Road,0.1,2G Reliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""None""]",1,Spring Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,non,"[""None""]",no,,No,,Local Supplier,,"[""None""]","[""None""]","[""Announcements \/ Broadcast""]",30,"common carp,rahu",300,"[""Others""]","[""Head Load""]",Based on market price
1151,2019-02-15 14:10:11,Fisheries,Fish Pond,nabam dimin,Private,In Use,Lower Subansiri,Yachuli,Yoglo,27.51895,93.70587,Approved,https://smartvillage.imagetrekk.com/storage/images/kYV7uIpU1ljaJ1unsez9oPgcN9qe7I8UIutLA0zU.jpeg?asset_id=1151,lack of mantaince,2,Kacha Road,0,2G Unreliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""None""]",1,Spring Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Supplier in other states,,"[""None""]","[""None""]","[""Announcements \/ Broadcast""]",20,"common carp grass carp, rohu",300,"[""Others""]","[""Head Load""]",Based on market price
1153,2019-02-15 14:10:26,Fisheries,Fish Pond,nabam dimin,Private,In Use,Lower Subansiri,Yachuli,Yoglo,27.5191,93.70519,Approved,https://smartvillage.imagetrekk.com/storage/images/z9hOIJwO40xVpEjVxuvM7VPsQ9Y5Qhjiyj2Teg4r.jpeg?asset_id=1153,lackof mantaince,2,Kacha Road,0.1,2G Unreliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""None""]",1,Spring Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Supplier in other states,,"[""None""]","[""None""]","[""Announcements \/ Broadcast""]",20,"common carp,grass carp, rohu",300,"[""Others""]","[""Head Load""]",Based on market price
1161,2019-02-15 14:11:11,Fisheries,Fish Pond,nabam dimin,Private,In Use,Lower Subansiri,Yachuli,Yoglo,27.5151,93.70096,Approved,https://smartvillage.imagetrekk.com/storage/images/nc4wTRnTllMtwEZkyg4TrHJeH2Fy5pkTuytMTDCP.jpeg?asset_id=1161,lack of scientific management,2,Kacha Road,0.2,2G Unreliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""None""]",1,Spring Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Supplier in other states,,"[""None""]","[""None""]","[""Announcements \/ Broadcast""]",50,"common carp, rohu, grass carp, silver carp",300,"[""Others""]","[""Head Load""]",Based on market price
1162,2019-02-15 14:11:18,Fisheries,Fish Pond,nabam dimin,Private,In Use,Lower Subansiri,Yachuli,Yoglo,27.51452,93.70087,Approved,https://smartvillage.imagetrekk.com/storage/images/yflEYYiEWwMYlzkiso72uH1UIHiBlDevsCgisXj0.jpeg?asset_id=1162,lack of scientific management,2,Kacha Road,0.2,2G Unreliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""None""]",1,Spring Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Supplier in other states,,"[""None""]","[""None""]","[""Announcements \/ Broadcast""]",50,"common carp,grass carp, rohu,silver carp",300,"[""Others""]","[""Head Load""]",Based on market price
1163,2019-02-15 14:11:19,Fisheries,Fish Pond,nabam dimin,Private,In Use,Lower Subansiri,Yachuli,Yoglo,27.51357,93.70044,Approved,https://smartvillage.imagetrekk.com/storage/images/VwVoQ6gR5kZVuPZD7EeWRFwC46bE7ZJXTmvuzD7F.jpeg?asset_id=1163,lack of scientific management,2,Kacha Road,0.5,2G Unreliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""None""]",1,Spring Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Supplier in other states,,"[""None""]","[""None""]","[""Announcements \/ Broadcast""]",30,"common carp,silver carp, rohu,grass carp",300,"[""Others""]","[""Head Load""]",Based on market price
1198,2019-02-16 08:08:11,Fisheries,Fish Pond,kino tallo,Private,In Use,Papumpare,Sangdupota,Poma,27.07267,93.52414,Approved,https://smartvillage.imagetrekk.com/storage/images/z9TcgeRvzZoF6sztYsM5irVrLTuHNQahzZoURrZg.jpeg?asset_id=1198,-,1,Kacha Road,1.5,3G Reliable,"[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""Technical Support"",""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",200,"rohu, carp, catla",150,"[""Others""]","[""Others""]",Dependent on buyers price
1199,2019-02-16 08:08:31,Fisheries,Fish Pond,kino tallo,Private,In Use,Papumpare,Sangdupota,Poma,27.07267,93.52414,Rejected,https://smartvillage.imagetrekk.com/storage/images/zxg4TihJyAvibVobk3Ov4D2UbRONlknnYWYOsy4q.jpeg?asset_id=1199,-,1,Kacha Road,1.5,3G Reliable,"[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""Technical Support"",""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",200,"rohu, carp, catla",150,"[""Others""]","[""Others""]",Dependent on buyers price
1200,2019-02-16 08:08:31,Fisheries,Fish Pond,kino tallo,Private,In Use,Papumpare,Sangdupota,Poma,27.07267,93.52414,Rejected,https://smartvillage.imagetrekk.com/storage/images/TQHMVQ9lBMUYqhptQ2nlo6VmJKwY9ga5stRB3pFe.jpeg?asset_id=1200,-,1,Kacha Road,1.5,3G Reliable,"[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""Technical Support"",""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",200,"rohu, carp, catla",150,"[""Others""]","[""Others""]",Dependent on buyers price
1201,2019-02-16 08:08:32,Fisheries,Fish Pond,kino tallo,Private,In Use,Papumpare,Sangdupota,Poma,27.07267,93.52414,Rejected,https://smartvillage.imagetrekk.com/storage/images/9VXvyBfgS7UdqQIlwjxitXXxGaPGfalRV3gzFc2s.jpeg?asset_id=1201,-,1,Kacha Road,1.5,3G Reliable,"[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""Technical Support"",""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",200,"rohu, carp, catla",150,"[""Others""]","[""Others""]",Dependent on buyers price
1202,2019-02-16 08:08:32,Fisheries,Fish Pond,kino tallo,Private,In Use,Papumpare,Sangdupota,Poma,27.07267,93.52414,Rejected,https://smartvillage.imagetrekk.com/storage/images/OptAiwLiShfXrdiVbpHa369muGuAHHShomYwdUMi.jpeg?asset_id=1202,-,1,Kacha Road,1.5,3G Reliable,"[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""Technical Support"",""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",200,"rohu, carp, catla",150,"[""Others""]","[""Others""]",Dependent on buyers price
1203,2019-02-16 08:08:39,Fisheries,Fish Pond,kino tallo,Private,In Use,Papumpare,Sangdupota,Poma,27.07267,93.52414,Rejected,https://smartvillage.imagetrekk.com/storage/images/PdxMbtwp5vpOPMT3jBZGSHXCnZAu4psTTW88E9QB.jpeg?asset_id=1203,-,1,Kacha Road,1.5,3G Reliable,"[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""Technical Support"",""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",200,"rohu, carp, catla",150,"[""Others""]","[""Others""]",Dependent on buyers price
1204,2019-02-16 08:08:46,Fisheries,Fish Pond,kino tallo,Private,In Use,Papumpare,Sangdupota,Poma,27.07267,93.52414,Rejected,https://smartvillage.imagetrekk.com/storage/images/I9348Pe36YcUQPTccF8qHNEWDt745y67U8Ae2M8e.jpeg?asset_id=1204,-,1,Kacha Road,1.5,3G Reliable,"[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""Technical Support"",""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",200,"rohu, carp, catla",150,"[""Others""]","[""Others""]",Dependent on buyers price
1205,2019-02-16 08:09:26,Fisheries,Fish Pond,kino tallo,Private,In Use,Papumpare,Sangdupota,Poma,27.07267,93.52414,Rejected,https://smartvillage.imagetrekk.com/storage/images/lRlmHWq7GR99EtIiotjJsQDWtoWoLha8JOk5nJ0G.jpeg?asset_id=1205,-,1,Kacha Road,1.5,3G Reliable,"[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""Technical Support"",""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",200,"rohu, carp, catla",150,"[""Others""]","[""Others""]",Dependent on buyers price
1206,2019-02-16 08:09:32,Fisheries,Fish Pond,kino tallo,Private,In Use,Papumpare,Sangdupota,Poma,27.07267,93.52414,Rejected,https://smartvillage.imagetrekk.com/storage/images/ZBCSYZ3wA3rMlSERRj21Fg5ZmIaLcGxYqJWDBHJS.jpeg?asset_id=1206,-,1,Kacha Road,1.5,3G Reliable,"[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""Technical Support"",""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",200,"rohu, carp, catla",150,"[""Others""]","[""Others""]",Dependent on buyers price
1207,2019-02-16 08:09:38,Fisheries,Fish Pond,kino tallo,Private,In Use,Papumpare,Sangdupota,Poma,27.07267,93.52414,Rejected,https://smartvillage.imagetrekk.com/storage/images/A8zuGeFGO6NrQ5aWNTDh8siAwzUOwT2jtaQO0Llu.jpeg?asset_id=1207,-,1,Kacha Road,1.5,3G Reliable,"[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""Technical Support"",""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",200,"rohu, carp, catla",150,"[""Others""]","[""Others""]",Dependent on buyers price
1208,2019-02-16 08:09:43,Fisheries,Fish Pond,kino tallo,Private,In Use,Papumpare,Sangdupota,Poma,27.07267,93.52414,Rejected,https://smartvillage.imagetrekk.com/storage/images/1EzZz3gnByuNJ859J1aqPrsI176aeYQwKSeSB0fK.jpeg?asset_id=1208,-,1,Kacha Road,1.5,3G Reliable,"[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""Technical Support"",""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",200,"rohu, carp, catla",150,"[""Others""]","[""Others""]",Dependent on buyers price
1209,2019-02-16 08:09:49,Fisheries,Fish Pond,kino tallo,Private,In Use,Papumpare,Sangdupota,Poma,27.07267,93.52414,Rejected,https://smartvillage.imagetrekk.com/storage/images/Bw0XDNSWQU137RxIRO1oSYPbqt4TMneCVnGtySoi.jpeg?asset_id=1209,-,1,Kacha Road,1.5,3G Reliable,"[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""Technical Support"",""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",200,"rohu, carp, catla",150,"[""Others""]","[""Others""]",Dependent on buyers price
1210,2019-02-16 08:09:55,Fisheries,Fish Pond,kino tallo,Private,In Use,Papumpare,Sangdupota,Poma,27.07267,93.52414,Rejected,https://smartvillage.imagetrekk.com/storage/images/kZMnbmGcZmxGWcNbkjIuZXegx1BSHiYhwUByHRj5.jpeg?asset_id=1210,-,1,Kacha Road,1.5,3G Reliable,"[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""None""]",1,Ground Water,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""Technical Support"",""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",200,"rohu, carp, catla",150,"[""Others""]","[""Others""]",Dependent on buyers price
1322,2019-02-20 11:15:15,Fisheries,Fish Pond,kago yubbey,Private,In Use,Lower Subansiri,Ziro,Mani Polyang,27.5331,93.8497,Approved,https://smartvillage.imagetrekk.com/storage/images/BN7qUfLg7FFp4Teurpats05iK28GSGKLVfH7JkBA.jpeg?asset_id=1322,Working condition,10,Pakka Road,12,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",2,River or Canal,,Burnt within the premises,,Yes,1,None,,,,,,,Others,non,"[""Technical Support"",""Support via Schemes"",""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",100,"common carp, grass carp",200,"[""Farmers""]","[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker""]",Based on market price
1671,2019-02-26 11:15:33,Fisheries,Fish Pond,nemcha nyoungja,Private,In Use,Changlang,Changlang,Changlang (CT),27.14363,95.73906,Approved,https://smartvillage.imagetrekk.com/storage/images/lFMtCHPA3WXg6O6ujFoIpI3ouLkf0tHc5HjNChcx.jpeg?asset_id=1671,Village name is Old Changlang (fishery),1,Footway,2,4G+ Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""Compound Wall\/ Fencing""]",1,Ground Water,,Burnt within the premises,,No,,None,,,,,,,Others,nil,"[""Support via Schemes""]",no,,No,,Government Agency,,"[""Others""]","[""Others""]","[""Others""]",150,"commom carp, Silver carp, rohu, Bahu",200,"[""Others""]","[""Mini Luggage Transport Vehicle""]",Based on market price
1711,2019-02-27 04:17:35,Fisheries,Fish Pond,makba nasi,Private,Not in Use,Tirap,Khonsa,Kheti,26.9705,95.50569,Rejected,https://smartvillage.imagetrekk.com/storage/images/ijwnhKc8mS6jbmnbNK2Ys06uJIOgP8imwQzUf7V3.jpeg?asset_id=1711,Fish pond 1,4,Footway,0.005,4G+ Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""None""]",0,Others,rain water,Burnt within the premises,,No,,None,,,,,,,Others,locally manage,"[""None""]",no,,No,,None,,"[""None""]","[""None""]","[""Others""]",0,,0,"[""None""]","[""Others""]",Based on market price
2918,2019-04-24 15:08:28,Fisheries,Fish Pond,tendel zangmu wangja,Government,In Use,West Kameng,Shergaon,Shergaon,27.13288,92.27799,Rejected,https://smartvillage.imagetrekk.com/storage/images/2fCdPFyeYl7EFyeh7XQMuJIWeQDPKVCKsYj1GGk3.jpeg?asset_id=2918,"Respondent B. Dutta, mainly trout hatchery",1,Kacha Road,30,4G Unreliable,"[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Compound Wall\/ Fencing""]",3,Spring Water,,Burnt within the premises,,Yes,4,None,,,,,,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support""]",no,,No,[],Government Agency,,"[""None""]","[""None""]","[""Others""]",5,Trout,0,"[""Farmers"",""NGO""]","[""Others""]",Government fixed
