id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the farm land until it was open and accesible?,What is the type of the road available to the farm land?,How much distance should one travel from the farm land to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the farm land?,What are different Mobile network service providers available at the location of the farm land?,What is the type of structure of the farm land?,What is the type of security available for the farm land?,How many are employed in the farm land?,Where do you get water for operational purposes for the farm land?,How do you deal with the agricultural waste generated from the farm land?,Are the premises of farm land cleaned with disinfectant regularly?,How frequently are the premises at the farm land cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the farm land?,How many hours per day are you facing power cuts in the farm land?,What is the alternative energy source available for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How do you maintain records for operations of the farm land?,What are the areas the farm land gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the farm land?,Are you using digital technologies that can be used in the farm land?,Where do you procure inputs required for the farm land?,What are different chemical inputs used in the farm land?,What is the type of covering material used in the farm land?,What is the water source used for irrigation mechanism?,What is the type of irrigation mechanism used in the farm land?,How does the farm land advertise about the services available?,What is the average operational cost per month to run the farm land?(Excluding Salary of the Employees),How much amount of products are produced in the farm land in a year?(In K.G),What is the type of agriculture products produced in the farm land?,What is the average cost per K.G of the products produced from the farm land?(In Rupees),Which type of customers purchase the products produced in the farm land?,How does the customers transport the goods produced from the farm land?
1554,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.12779,95.70678,1,kacha road,6.0,3g reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,supplier in other states,none,none,rainfed,others,others,3000,30,cardamom and arecanut,>300,others,head load#2 wheeler#mini luggage transport vehicle
1714,Agriculture,Farm land,Tirap,Khonsa,Kheti,26.970240000000004,95.50519,4,pakka road,0.0,4g+ reliable,bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,ground water,none,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,none,ground water,drip irrigation,others,0,1200,fern leaf for roofing,1-100,none,head load#2 wheeler#sumo\/tracker#tempo\/auto#mini luggage transport vehicle#huge luggage transport vehicle#others
1716,Agriculture,Farm land,Tirap,Khonsa,Kheti,26.97011,95.50511,1,footway,0.005,4g+ reliable,jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,ground water,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,ground water,others,village meeting,500,10,cardamom,201-300,others,head load
1717,Agriculture,Farm land,Tirap,Khonsa,Kheti,26.970270000000006,95.50496,1,footway,0.005,4g+ reliable,jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,ground water,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,ground water,others,village meeting,400,5,fern leaf,1-100,others,head load
1718,Agriculture,Farm land,Tirap,Khonsa,Kheti,26.97062,95.5052,4,pakka road,0.0,4g+ reliable,bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,ground water,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,none,ground water,others,others,0,12000,bamboo,1-100,farmers,head load#mini luggage transport vehicle#huge luggage transport vehicle
1719,Agriculture,Farm land,Tirap,Khonsa,Kheti,26.97086,95.50499,1,footway,0.0,4g+ reliable,jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,ground water,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,ground water,others,village meeting,400,6,fern leaf & banana,1-100,others,head load
1721,Agriculture,Farm land,Tirap,Khonsa,Kheti,26.97052,95.50478,4,pakka road,0.0,4g+ reliable,jio#airtel#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,1,ground water,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,marketing support,no,no,none,none,none,rainfed,others,village meeting,1000,12500,fern leaf for roofing,1-100,farmers,head load#sumo\/tracker#tempo\/auto#2 wheeler#mini luggage transport vehicle#huge luggage transport vehicle
1738,Agriculture,Farm land,Tirap,Khonsa,Kheti,26.97216,95.50355,4,pakka road,0.0,4g+ reliable,bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,2,ground water,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,ground water,others,village meeting,0,5,500,>300,farmers#govt. agencies#others,head load#2 wheeler
1750,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.13482,95.74435,1,kacha road,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,2,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,others,others,3000,150,tea leaf,1-100,farmers,mini luggage transport vehicle
1894,Agriculture,Farm land,Lower Subansiri,Yachuli,Toon,27.46413,93.77543,2,kacha road with block point,2.0,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,river or canal,none,yes,>7,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,rainfed,others,village meeting,5000,20,orange,101-200,others,head load
1896,Agriculture,Farm land,Lower Subansiri,Yachuli,Toon,27.46365,93.77549,3,kacha road with block point,3.0,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,2,river or canal,discarded in open field,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,river/stream,canal irrigation,others,20000,500,rice,1-100,none,mini luggage transport vehicle#head load#2 wheeler
1897,Agriculture,Farm land,Lower Subansiri,Yachuli,Toon,27.46113,93.77101,1,kacha road with block point,2.0,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,5,others,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,none,rainfed,others,others,10000,20000,small bamboo,1-100,others,head load#mini luggage transport vehicle
1898,Agriculture,Farm land,Lower Subansiri,Yachuli,Toon,27.45831,93.77803,3,kacha road with block point,4.0,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,2,others,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,none,rainfed,others,others,30000,600,large cardamom,201-300,none#others,head load
1899,Agriculture,Farm land,Lower Subansiri,Yachuli,Toon,27.4583,93.77793,3,kacha road with block point,4.0,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,5,others,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,none,rainfed,others,others,30000,2000,rice,1-100,none,head load#mini luggage transport vehicle
1900,Agriculture,Farm land,Lower Subansiri,Yachuli,Toon,27.46258,93.77043,5,kacha road with block point,1.0,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,none,rainfed,others,others,2000,1000,large bamboo,1-100,none,head load#mini luggage transport vehicle
1901,Agriculture,Farm land,Lower Subansiri,Yachuli,Toon,27.45885,93.77648,1,kacha road with block point,4.0,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,none,rainfed,others,others,15000,100,orange garden,1-100,none,head load
2074,Agriculture,Farm land,Lower Subansiri,Ziro,Hong,27.51497,93.83908,3,kacha road,9.0,2g reliable,vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,9,water from government,burnt within the premises,yes,7,yes,1.0,none,N/A,traditional book keeping,financial support#support via schemes,no,no,local supplier,none,none,others,others,others,1,50,seasonally veg,1-100,others#farmers,2 wheeler#tempo\/auto#sumo\/tracker
2357,Agriculture,Farm land,Papumpare,Doimukh,Mani,27.177670000000006,93.77191,2,pakka road,1.0,3g reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,2,spring water,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,lath/bamboo,rainfed,others,others,10000,6000,tree plantation,>300,none#farmers,huge luggage transport vehicle
2371,Agriculture,Farm land,Namsai,Namsai,Kaisu L/C,27.66086,95.99221,2,pakka road,0.5,3g unreliable,bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,70,others,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,none,rainfed,canal irrigation,village meeting,1000,72000,rice,1-100,others,tempo\/auto
2486,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.13642,95.7477,1,kacha road,4.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,spring water,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,others,none,none,rainfed,others,others,4000,1800,paddy,1-100,none,mini luggage transport vehicle#huge luggage transport vehicle#head load
2886,Agriculture,Farm land,West Kameng,Shergaon,Shergaon,27.13072,92.27126,1,kacha road,30.0,4g unreliable,bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,5,water from government,burnt within the premises,no,N/A,yes,4.0,none,N/A,traditional book keeping,others,no,no,others,none,none,rainfed,others,others,10000,3000,tomato and potato,1-100,others,mini luggage transport vehicle
669,Agriculture,Farm land,Lohit,Tezu,Laboliang,27.98445,96.17576,1,kacha road,1.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,water from government,discarded in open field,no,N/A,yes,16.0,none,N/A,traditional book keeping,support via schemes,no,no,government agency,pesticide,polysheet,others,sprinklers,village meeting,30,10,"lemon, potato,brinjal and stebia",101-200,farmers#govt. agencies#others,mini luggage transport vehicle
792,Agriculture,Farm land,Lohit,Tezu,Laboliang,27.98423,96.18568,1,pakka road,0.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,2,water from government,discarded in open field,no,N/A,yes,6.0,none,N/A,traditional book keeping,financial support#support via schemes,no,no,supplier in other states,none,none,others,rose can,village meeting,20000,10,"herbal tea, beatle nut and mango",1-100,others,mini luggage transport vehicle
828,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.13239,95.744,1,pakka road with block point,3.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,2,river or canal,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,supplier in other states,none,none,river/stream,canal irrigation,others,3000,0,rice,1-100,none#others,head load#mini luggage transport vehicle
837,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.13185,95.74514,1,kacha road,3.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,10,river or canal,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,supplier in other states,fertilizer,none,river/stream,canal irrigation,others,0,0,tea leaf,1-100,others,head load#mini luggage transport vehicle
846,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.52484,93.76753,1,kacha road with block point,0.5,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,ground water,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,rainfed,others,village meeting#others,2500,0,large cardamon,201-300,farmers#ngo#others,sumo\/tracker#mini luggage transport vehicle
853,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.526490000000006,93.76914,4,pakka road,0.0,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,discarded in open field,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,lath/bamboo,rainfed,others,others,0,0,bamboo,1-100,farmers#others,huge luggage transport vehicle#tempo\/auto
905,Agriculture,Farm land,Changlang,Changlang,Ngaichang,27.11986,95.73205,1,kacha road,7.0,3g reliable,vodafone#bsnl#airtel#jio,"kacha/temporary(wood,bamboo,etc.,)",none,0,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,green mesh,others,sprinklers,others,0,0,vegetables,1-100,others,head load#2 wheeler#sumo\/tracker#tempo\/auto#mini luggage transport vehicle
1121,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.52002,93.68224,1,kacha road,5.0,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,others,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,cardamom,1-100,N/A,head load
1129,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.52184,93.7072,1,kacha road,0.2,2g reliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,cardamon,1-100,none,head load
1130,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.52205,93.70715,1,kacha road,0.2,2g reliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,banana,1-100,none,head load
1131,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.51921,93.70576,1,kacha road,0.1,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,orange,1-100,others,head load
1132,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.51571,93.7029,1,kacha road,0.1,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,tea leaf garden,1-100,others,head load
1134,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.51618,93.70349,1,kacha road,0.1,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,cardamon,1-100,others,head load
1136,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.51658,93.70236,0,kacha road,0.1,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,tabi bamboo,1-100,others,head load
1137,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.51655,93.70276,0,kacha road,0.1,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,tabi bamboo,1-100,others,head load
1141,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.51563,93.70336,4,kacha road,0.5,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,2,others,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,tea leaf garden,1-100,others,others
1143,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.51737,93.70394,2,kacha road,0.2,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,tabi bamboo,1-100,others,head load
1145,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.51684,93.70398,2,kacha road,0.2,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,tabi bamboo,1-100,others,head load
1146,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.51722,93.70416,2,kacha road,0.2,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,tabi bamboo,1-100,others,head load
1148,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.5177,93.70432,2,kacha road,0.2,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,tabi bamboo,1-100,others,head load
1150,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.51826,93.70472,2,kacha road,0.2,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,tabi bamboo,1-100,others,head load
1152,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.519140000000004,93.70524,2,kacha road,0.2,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,tabi bamboo,1-100,others,tempo\/auto
1155,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.5196,93.70654,1,kacha road,0.1,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,announcements \/ broadcast,0,0,tabi bamboo,1-100,others,head load
1157,Agriculture,Farm land,Lower Subansiri,Yachuli,Yoglo,27.51816,93.7075,2,kacha road,0.4,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,others,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,others,0,20,mastard leaf,1-100,others,head load
1337,Agriculture,Farm land,Lohit,Tezu,Laboliang,27.97861,96.18785,2,kacha road,0.7,4g unreliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing#watchman,2,others,discarded in open field,no,N/A,no,N/A,none,N/A,traditional book keeping,support via subsidies#support via schemes,no,no,government agency,others,none,rainfed,others,village meeting,5000,30,green tea,>300,others,mini luggage transport vehicle
1403,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.585,93.84092,1,kacha road,1.0,3g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,2,river or canal,discarded in open field,yes,>7,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,river/stream,canal irrigation,others,2000,1,paddy,201-300,none,head load
1409,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.59164,93.84663,1,kacha road,2.0,3g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,2,river or canal,discarded in open field,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,none,others,river/stream,canal irrigation,others,2000,0,paddy,201-300,farmers,head load#2 wheeler#tempo\/auto
1882,Agriculture,Farm land,Lower Subansiri,Ziro,Hija,27.5981,93.81737,1,kacha road,3.0,3g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,2,river or canal,burnt within the premises,no,N/A,no,N/A,none,2.0,others,others,no,no,local supplier,none,polysheet,river/stream,sprinklers,others,350,0,"cabbage, potato, tomato, chilli,",1-100,farmers#others,2 wheeler#head load
